序号,书名,作家,译者,出版社,初版时间,定价,评分,评分人数,简述,图片链接
125,绝叫,[日] 叶真中显,林佩瑾,北京联合出版公司,2020-7,58.00元,8.7,47153,None,https://img2.doubanio.com/view/subject/s/public/s33685372.jpg
126,國史大綱（上下）,錢穆,,商务印书馆,2013-8,76.00元,9.4,14509,钱穆中国通史,https://img9.doubanio.com/view/subject/s/public/s6795555.jpg
127,经济学原理（上下）,[美] 曼昆,梁小民,机械工业出版社,2003-8,88.00元,9.1,19992,经济学家们的世界观,https://img9.doubanio.com/view/subject/s/public/s1785715.jpg
128,也许你该找个人聊聊,[美] 曼昆,梁小民,机械工业出版社,2003-8,88.00元,8.9,24538,None,https://img2.doubanio.com/view/subject/s/public/s33944153.jpg
129,茶馆,老舍,,人民文学出版社,2002-1,9.80元,9.0,24933,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,https://img3.doubanio.com/view/subject/s/public/s33516550.jpg
130,人间草木,汪曾祺,,江苏文艺出版社,2005-01,20.00元,9.1,25238,我就是要这样香，香得痛痛快快,https://img3.doubanio.com/view/subject/s/public/s1201610.jpg
131,面纱,(英)W.萨默塞特·毛姆,阮景林,重庆出版社,2012-05-01,32.00元,8.7,64481,揭去生活的面纱,https://img9.doubanio.com/view/subject/s/public/s9038826.jpg
132,海的女儿,安徒生,叶君健,上海译文出版社,1978年6月,0.43,9.1,18905,None,https://img9.doubanio.com/view/subject/s/public/s4133656.jpg
133,克莱因壶,[日]冈岛二人,张舟,化学工业出版社,2019-9,48.00元,8.8,39941,None,https://img1.doubanio.com/view/subject/s/public/s33317677.jpg
134,苏菲的世界,[挪] 乔斯坦·贾德,萧宝森,作家出版社,2007-10,26.00元,8.8,51038,哲学启蒙书,https://img3.doubanio.com/view/subject/s/public/s3042670.jpg
135,爱的艺术,[美] 艾·弗洛姆,李健鸣,上海译文出版社,2008-4,15.00元,8.8,40829,谦恭地、勇敢地、真诚地和有纪律地爱他人,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg
136,史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森,管延圻,中信出版社,2011-10-24,68.00元,8.7,56468,完美主义者的最高形态,https://img2.doubanio.com/view/subject/s/public/s6974202.jpg
137,万水千山走遍,三毛,,哈尔滨出版社,2003-08,13.80,8.8,42279,从遥远的撒哈拉到敦煌戈壁,https://img2.doubanio.com/view/subject/s/public/s1099483.jpg
138,阿勒泰的角落,李娟,,万卷出版公司,2010-6,25.00元,9.1,17150,白雪和阳光，青草和白桦林,https://img3.doubanio.com/view/subject/s/public/s6185540.jpg
139,德米安,[德] 赫尔曼·黑塞,丁君君,上海人民出版社,2009-3,25.00元,8.9,28001,少年辛克莱寻找通向自身之路的艰辛历程,https://img9.doubanio.com/view/subject/s/public/s3979854.jpg
140,温柔的夜,三毛,,北京十月文艺出版社,2007-5,28.00元,9.1,20889,三毛在加纳利群岛的生活,https://img1.doubanio.com/view/subject/s/public/s2391798.jpg
141,不能承受的生命之轻,米兰·昆德拉,许钧,上海译文出版社,2010-8,29.00元,8.8,40857,None,https://img2.doubanio.com/view/subject/s/public/s4421443.jpg
142,桶川跟踪狂杀人事件,[日] 清水洁,王华懋,四川人民出版社,2021-2,45.00元,9.0,24642,None,https://img1.doubanio.com/view/subject/s/public/s33805848.jpg
143,我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇,方祖芳,花城出版社,2014-6-15,34.80元,9.1,17962,真实记录切尔诺贝利核灾难事件,https://img2.doubanio.com/view/subject/s/public/s28313152.jpg
144,我的天才女友,[意] 埃莱娜·费兰特,陈英,人民文学出版社,2017-1,42.00元,8.6,89478,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,https://img1.doubanio.com/view/subject/s/public/s29164777.jpg
145,霸王别姬,李碧华,,人民文学出版社,1999-1,10.20元,9.1,19412,人间，只是抹去了脂粉的脸,https://img9.doubanio.com/view/subject/s/public/s24964086.jpg
146,我也有一个梦想,林达,,生活·读书·新知三联书店,2004-08,25.00元,9.0,14870,在法治国家里，民众怎样运用法律,https://img9.doubanio.com/view/subject/s/public/s2170315.jpg
147,球状闪电,刘慈欣,,四川科学技术出版社,2005-6,22.00元,8.7,72557,量子之外，没有真相,https://img9.doubanio.com/view/subject/s/public/s26040205.jpg
148,长日将尽,[英] 石黑一雄,冯涛,上海译文出版社,2018-5,48.00元,8.9,25517,None,https://img3.doubanio.com/view/subject/s/public/s29738720.jpg
149,亮剑,都梁,,解放军文艺出版社,2005-3,28.00元,8.9,26685,面对强大的对手，明知不敌，也要毅然亮剑,https://img1.doubanio.com/view/subject/s/public/s9950828.jpg
150,古文观止,吴楚材,,中华书局,1987-1-1,21.00元,9.1,17299,收录自先秦至明末的散文二百二十二篇,https://img2.doubanio.com/view/subject/s/public/s1325863.jpg
151,1367,陳浩基,,皇冠文化出版有限公司,2014-6-9,NT$350,9.2,15076,None,https://img3.doubanio.com/view/subject/s/public/s33699260.jpg
152,一句顶一万句,刘震云,,长江文艺出版社,2009-3,29.80,8.7,55435,一句胜过千年,https://img1.doubanio.com/view/subject/s/public/s6916838.jpg
153,社会心理学,[美] 戴维·迈尔斯,张智勇,人民邮电出版社,2006-1,68.00元,9.0,24016,人们是如何思索、影响他人并与他人建立联系的,https://img2.doubanio.com/view/subject/s/public/s1670932.jpg
154,海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德,陈以侃,上海文艺出版社,2015-6-1,CNY 20.00,9.0,16685,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,https://img2.doubanio.com/view/subject/s/public/s28061231.jpg
155,我的阿勒泰,李娟,,云南人民出版社,2010-7,22.00元,8.8,23933,描写疆北阿勒泰地区生活和风情的原生态散文集,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg
156,强风吹拂,三浦紫苑,林佩瑾,广西师范大学出版社,2015-1-1,39.00元,9.0,19555,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,https://img1.doubanio.com/view/subject/s/public/s27914268.jpg
157,倾城之恋,张爱玲,,北京十月文艺出版社,2006-12,29.80元,8.7,47359,“一对平凡的夫妻”之间的“一点真心”,https://img3.doubanio.com/view/subject/s/public/s4638950.jpg
158,少年凯歌,陈凯歌,,人民文学出版社,2001-6,10.00元,9.2,10096,None,https://img1.doubanio.com/view/subject/s/public/s24399718.jpg
159,孩子你慢慢来,龙应台,,生活·读书·新知三联书店,2009-12-1,28.00元,8.7,74561,我们现在怎样做母亲,https://img9.doubanio.com/view/subject/s/public/s4124434.jpg
160,浮生六记,（清）沈复,,人民文学出版社,1999-1,38,8.8,63289,苟不记之笔墨，未免有辜彼苍之厚,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg
161,麦琪的礼物,[美] 欧·亨利,张经浩,上海社会科学院出版社,2003-7,25.00元,8.6,70234,日常的奇迹,https://img2.doubanio.com/view/subject/s/public/s1137441.jpg
162,送你一颗子弹,刘瑜,,上海三联书店,2010-1,25.00元,8.6,137653,在这本书里，被“审视”的东西杂七杂八,https://img1.doubanio.com/view/subject/s/public/s4243447.jpg
163,天朝的崩溃,茅海建,,生活·读书·新知三联书店,2005-7,32.00元,9.1,13334,鸦片战争再研究,https://img2.doubanio.com/view/subject/s/public/s1681072.jpg
164,渴望生活,[美] 欧文·斯通,常涛,北京十月文艺出版社,2008-4,29.80元,9.2,10860,梵高悲惨而成就辉煌的人生,https://img1.doubanio.com/view/subject/s/public/s3099438.jpg
165,九州·缥缈录,江南,,新世界出版社,2005-6,20.00元,8.8,30045,乱世的英雄史诗,https://img1.doubanio.com/view/subject/s/public/s1520169.jpg
166,情书,[日] 岩井俊二,穆晓芳,天津人民出版社,2004-7,18.00元,8.6,100702,一场同名同姓的误会，两段可贵的爱情,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg
167,万物有灵且美,[英] 吉米·哈利,种衍伦,中国城市出版社,2010-1,28.80,8.8,21251,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,https://img9.doubanio.com/view/subject/s/public/s4093514.jpg
168,尼罗河上的惨案,[英] 阿加莎·克里斯蒂,宫英海,人民文学出版社,2006-5,22.00元,8.7,44673,阿加莎·克里斯蒂代表作,https://img1.doubanio.com/view/subject/s/public/s1683067.jpg
169,遥远的向日葵地,李娟,,花城出版社,2017-11,38.00元,9.0,17253,None,https://img3.doubanio.com/view/subject/s/public/s29878650.jpg
170,野火集,龙应台,,文汇出版社,2005-8,25.00元,8.8,33716,中国人，你为什么不生气,https://img1.doubanio.com/view/subject/s/public/s1469589.jpg
171,草房子,曹文轩,,江苏少年儿童出版社,2009-6,18.00元,9.0,40828,男孩桑桑刻骨铭心、终身难忘的六年小学生活,https://img3.doubanio.com/view/subject/s/public/s2652540.jpg
172,银河系漫游指南,[英] 道格拉斯·亚当斯,徐百柯,四川科学技术出版社,2005-6,16.00元,8.8,20505,一场穿越银河的冒险,https://img3.doubanio.com/view/subject/s/public/s3696740.jpg
173,罗生门,[日] 芥川龙之介,林少华,上海译文出版社,2008-7,12.00元,8.7,62349,人生，远比地狱更像地狱,https://img1.doubanio.com/view/subject/s/public/s3435158.jpg
174,半生缘,张爱玲,,北京十月文艺出版社,2006-12,28.00元,8.6,78581,世钧，我们回不去了,https://img1.doubanio.com/view/subject/s/public/s2838737.jpg
175,安娜·卡列尼娜,[俄] 列夫·托尔斯泰,草婴,上海文艺出版社,2007-8,37.00元,9.2,21165,None,https://img1.doubanio.com/view/subject/s/public/s5763939.jpg
176,倚天屠龙记,金庸,,生活·读书·新知三联书店,1999-04,47.00,8.6,56873,不识张郎是张郎,https://img9.doubanio.com/view/subject/s/public/s34097535.jpg
177,额尔古纳河右岸,迟子建,,北京十月文艺出版社,2005-12-1,29.00元,9.0,20302,东北少数民族鄂温克人生存现状及百年沧桑,https://img9.doubanio.com/view/subject/s/public/s3380714.jpg
178,恶意,[日] 东野圭吾,娄美莲,南海出版公司,2016-11-1,39.50元,8.7,81314,None,https://img9.doubanio.com/view/subject/s/public/s29069735.jpg
179,理想国,[古希腊] 柏拉图,郭斌和,商务印书馆,1986-8,28.00元,8.8,30952,人类历史上最早的乌托邦,https://img1.doubanio.com/view/subject/s/public/s34157889.jpg
180,枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德,谢延光,上海译文出版社,2006-4-1,45.00元,8.7,44092,人类社会的命运,https://img2.doubanio.com/view/subject/s/public/s1738643.jpg
181,雨季不再来,三毛,,北京十月文艺出版社,2007-7,28.00元,8.7,50536,三毛少女时代的成长感受,https://img1.doubanio.com/view/subject/s/public/s2563279.jpg
182,一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,魏然,南海出版公司,2013-6,25.00元,8.7,37035,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,https://img1.doubanio.com/view/subject/s/public/s26546959.jpg
183,激荡三十年,吴晓波,,中信出版社,2008-7-1,32.00元,8.6,16588,中国企业1978—2008,https://img3.doubanio.com/view/subject/s/public/s3203360.jpg
184,你好，旧时光（上下）,八月长安,,新世界出版社,2009-12,39.80元,8.7,44984,原作名切题,https://img1.doubanio.com/view/subject/s/public/s4293097.jpg
185,当呼吸化为空气,[美] 保罗·卡拉尼什,何雨珈,浙江文艺出版社,2016-12,48.00元,8.8,24060,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,https://img2.doubanio.com/view/subject/s/public/s29423902.jpg
186,雷雨,曹禺,,人民文学出版社,1999-05,9.20,8.6,72317,一幕人生大悲剧，在一个雷雨夜爆发,https://img1.doubanio.com/view/subject/s/public/s23579217.jpg
187,孙子兵法,孙武,郭化若,上海古籍出版社,2006-7,20.00元,9.4,11422,我国最古老最杰出的一部兵书,https://img1.doubanio.com/view/subject/s/public/s2142329.jpg
188,冰与火之歌,乔治·马丁,谭光磊,重庆出版社,2013-10-1,330.00元,9.5,14448,乔治·R·R·马丁史诗奇幻小说,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg
189,目送,龙应台,,生活·读书·新知三联书店,2009-10,39.00元,8.6,203797,不必追,https://img1.doubanio.com/view/subject/s/public/s3984108.jpg
190,最好的我们,八月长安,,湖南文艺出版社,2013-8-5,55,8.7,67128,耿耿余淮,https://img9.doubanio.com/view/subject/s/public/s26720726.jpg
191,水浒传（全二册）,[明] 施耐庵,,人民文学出版社,1997-1,50.60元,8.6,69395,替天行道,https://img1.doubanio.com/view/subject/s/public/s1436519.jpg
192,解忧杂货店,[日] 东野圭吾,李盈春,南海出版公司,2014-5,39.50元,8.5,719268,现代人内心流失的东西，这家杂货店能帮你找回,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg
193,银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫,叶李华,江苏凤凰文艺出版社,2015-10-1,328.00元,9.4,11558,阿西莫夫经典科幻小说,https://img9.doubanio.com/view/subject/s/public/s28284246.jpg
194,2001：太空漫游,[英] 阿瑟·克拉克,郝明义,上海文艺出版社,2019-5-10,62.00元,9.3,15114,None,https://img2.doubanio.com/view/subject/s/public/s32330891.jpg
195,亲爱的安德烈,龙应台,,人民文学出版社,2008-12,26.00,8.6,117003,弭平代沟，跨越文化阻隔,https://img1.doubanio.com/view/subject/s/public/s3993878.jpg
196,一千零一夜,纳训,,人民文学出版社,2003-01,22.00,8.7,53991,阿拉伯地区的古代民间传说,https://img1.doubanio.com/view/subject/s/public/s1070937.jpg
197,总统是靠不住的,林达,,生活·读书·新知三联书店,2004-08,21.80,8.8,19665,美国政治法律制度的基本原理和操作细节,https://img9.doubanio.com/view/subject/s/public/s2170316.jpg
198,顾城的诗,顾城,,人民文学出版社,1998-12,20.00,8.8,23719,火焰是我们诗歌唯一的读者,https://img2.doubanio.com/view/subject/s/public/s1024472.jpg
199,上学记,何兆武 口述,,生活·读书·新知三联书店,2006-8,19.80元,8.9,13479,20世纪中国知识分子的心灵史,https://img9.doubanio.com/view/subject/s/public/s1950424.jpg
200,荒原狼,[德]赫尔曼·黑塞,赵登荣,上海译文出版社,2008-7,13.00,9.0,17544,“超现实主义”风格作品，德国的《尤利西斯》,https://img1.doubanio.com/view/subject/s/public/s3286369.jpg
201,认识电影,[美] 路易斯·贾内梯,焦雄屏,世界图书出版公司,2007-11,68.00元,8.9,17174,电影入门经典之作,https://img2.doubanio.com/view/subject/s/public/s28274132.jpg
202,论语,刘胜利,,中华书局,2006-12,9.80元,9.1,20123,仁远乎哉？我欲仁，斯仁至矣,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg
203,你一生的故事,[美] 特德·姜,李克勤,译林出版社,2015-5,36.00元,8.7,30745,特德·姜科幻小说集,https://img9.doubanio.com/view/subject/s/public/s28033064.jpg
204,天生有罪,[南非] 特雷弗·诺亚,董帅,北京联合出版公司,2018-2-1,58.00,9.0,14247,None,https://img2.doubanio.com/view/subject/s/public/s29675003.jpg
205,众病之王,[美] 悉达多·穆克吉,李虎,中信出版社,2013-2,42.00元,9.0,11652,癌症传,https://img1.doubanio.com/view/subject/s/public/s24598159.jpg
206,全球通史,(美) 斯塔夫里阿诺斯,吴象婴,北京大学出版社,2012-2-1,168.00元,9.1,18948,从史前史到21世纪,https://img2.doubanio.com/view/subject/s/public/s29796663.jpg
207,象棋的故事,[奥] 斯蒂芬·茨威格,张玉书,上海译文出版社,2007-7,23.00元,9.1,11307,纳粹法西斯对人心灵的折磨及摧残,https://img3.doubanio.com/view/subject/s/public/s2897060.jpg
208,鹿川有许多粪,李沧东,春喜,武汉大学出版社,2021-8,58.00元,9.0,13849,None,https://img2.doubanio.com/view/subject/s/public/s33968312.jpg
209,荆棘鸟,[澳] 考琳·麦卡洛,曾胡,译林出版社,1998-7,28.00元,8.6,50111,澳洲乱世情,https://img9.doubanio.com/view/subject/s/public/s1073574.jpg
210,火星救援,[美] 安迪·威尔,陈灼,译林出版社,2015-10,38.00,8.9,16846,跟火星来一场不是你死就是我活的过家家游戏,https://img1.doubanio.com/view/subject/s/public/s28284337.jpg
211,青铜时代,王小波,,花城出版社,1997-5,29.00元,8.7,24725,唐人传奇贯注现代情趣,https://img2.doubanio.com/view/subject/s/public/s1072541.jpg
212,毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆,冯亦代,译林出版社,2012-11,36.00元,9.1,11222,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧,https://img9.doubanio.com/view/subject/s/public/s24174596.jpg
213,此生未完成,于娟,,湖南科学技术出版社,2011-5,26.00元,8.9,21217,一个母亲、妻子、女儿的生命日记,https://img2.doubanio.com/view/subject/s/public/s6343233.jpg
214,正见,宗萨蒋扬钦哲仁波切,姚仁喜,中国友谊出版公司,2007-1,25.00元,8.8,16511,佛陀的证悟,https://img2.doubanio.com/view/subject/s/public/s1993421.jpg
215,庄子,孙通海 译注,方勇 译注,中华书局,2007-04,20.00元,9.4,9738,野马也，尘埃也，生物之以息相吹也,https://img9.doubanio.com/view/subject/s/public/s5765615.jpg
216,中国哲学简史,冯友兰,赵复三,新世界出版社,2004-1,38.00元,8.9,18413,中国哲学入门书,https://img9.doubanio.com/view/subject/s/public/s1069364.jpg
217,雕刻时光,[苏] 安德烈·塔可夫斯基,张晓东,南海出版公司,2016-5,45.00元,9.5,6505,None,https://img2.doubanio.com/view/subject/s/public/s28622011.jpg
218,规训与惩罚,[法] 米歇尔·福柯,刘北成,生活·读书·新知三联书店,2003-1,21.80元,9.2,9008,伴随着惩罚的人性化，自由反而日益丧失了,https://img1.doubanio.com/view/subject/s/public/s2522397.jpg
219,现代艺术150年,[英] 威尔·贡培兹,王烁,广西师范大学出版社,2017-3-1,65.00元,9.1,11686,None,https://img9.doubanio.com/view/subject/s/public/s29417056.jpg
220,从一到无穷大,[美] G. 伽莫夫,暴永宁 译,科学出版社,2002-11,29.00元,9.1,12640,科学中的事实和臆测,https://img3.doubanio.com/view/subject/s/public/s2516920.jpg
221,金锁记,张爱玲,,哈尔滨出版社,2005-6,13.5元,8.6,58049,一个小商人家庭出身的女子曹七巧的心灵变迁历程,https://img9.doubanio.com/view/subject/s/public/s2976745.jpg
222,繁花,金宇澄,,上海文艺出版社,2013-3,48.00元,8.7,29897,海上繁花，请静观静读,https://img1.doubanio.com/view/subject/s/public/s26037307.jpg
223,香水,[德] 帕·聚斯金德,李清华,上海译文出版社,2009-6,25.00元,8.8,18450,None,https://img2.doubanio.com/view/subject/s/public/s3867373.jpg
224,夏洛的网,[美] E.B.怀特,任溶溶,上海译文出版社,2004-5,17.00元,8.6,63889,一个蜘蛛和小猪的故事，写给孩子，也写给大人,https://img1.doubanio.com/view/subject/s/public/s1120437.jpg
225,二手时间,[白俄] S. A. 阿列克谢耶维奇,吕宁思,中信出版社,2016-1,55.00元,8.8,19775,用最为细小的马赛克拼出了一幅完整的后苏联时代图景,https://img9.doubanio.com/view/subject/s/public/s28397415.jpg
226,步履不停,[日] 是枝裕和,郑有杰,北京联合出版公司,2017-5,36.80元,8.7,36148,人生路上，步履不停，总有那么一点来不及,https://img2.doubanio.com/view/subject/s/public/s29425921.jpg
227,时间的秩序,[意] 卡洛·罗韦利,杨光,湖南科学技术出版社,2019-6,56.00元,8.9,17911,None,https://img2.doubanio.com/view/subject/s/public/s32332471.jpg
228,如彗星划过夜空,林达,,生活·读书·新知三联书店,2006-3,21.00元,8.9,10974,None,https://img2.doubanio.com/view/subject/s/public/s1670411.jpg
229,了不起的盖茨比,[美] 斯科特·菲茨杰拉德,邓若虚,南海出版公司,2012-5,25.00元,8.7,44574,None,https://img9.doubanio.com/view/subject/s/public/s9110246.jpg
230,哈姆莱特,[英] 莎士比亚,朱生豪,人民文学出版社,2001-1,7.00元,8.7,44377,生存还是毁灭，这是一个值得思考的问题,https://img1.doubanio.com/view/subject/s/public/s27009357.jpg
231,骆驼祥子,老舍,,人民文学出版社,2000-3-1,12.00,8.4,185513,旧中国老北京贫苦市民的典型命运,https://img3.doubanio.com/view/subject/s/public/s1146040.jpg
232,民主的细节,刘瑜,,上海三联书店,2009-6,25.00,8.6,73799,公民养成手册,https://img1.doubanio.com/view/subject/s/public/s4146437.jpg
233,不存在的骑士,[意] 伊塔洛·卡尔维诺,吴正仪,译林出版社,2012-4,22.00元,8.8,16738,None,https://img2.doubanio.com/view/subject/s/public/s8972061.jpg
234,黑客与画家,[美] Paul Graham,阮一峰,人民邮电出版社,2011-4,49.00元,8.7,21811,硅谷创业之父PaulGraham文集,https://img9.doubanio.com/view/subject/s/public/s4669554.jpg
235,从零开始的女性主义,[日本] 上野千鹤子,吕灵芝,北京联合出版公司,2021-9,52.00元,8.6,32084,None,https://img2.doubanio.com/view/subject/s/public/s33984963.jpg
236,牡丹亭,汤显祖,,人民文学出版社,1963-4-1,14.50元,9.0,12567,不到园林，怎知春色如许,https://img9.doubanio.com/view/subject/s/public/s1075414.jpg
237,张爱玲文集,张爱玲,,安徽文艺出版社,1992年,45元,8.9,14891,None,https://img9.doubanio.com/view/subject/s/public/s1662165.jpg
238,稻草人手记,三毛,,北京十月文艺出版社,2009-3,18.00元,8.9,18680,三毛在加纳利群岛上的生活,https://img1.doubanio.com/view/subject/s/public/s3667048.jpg
239,如父如子,[日] 是枝裕和,丹勇,湖南文艺出版社,2018-4,49.80,8.8,23264,None,https://img3.doubanio.com/view/subject/s/public/s29707420.jpg
240,消失的13级台阶,[日] 高野和明,赵建勋,上海文艺出版社,2020-5-15,42.00元,8.6,62854,None,https://img1.doubanio.com/view/subject/s/public/s34070178.jpg
241,会饮篇,[古希腊] 柏拉图,王太庆,商务印书馆,2013-1,12.00元,9.3,8526,None,https://img2.doubanio.com/view/subject/s/public/s25807032.jpg
242,给青年诗人的信,[古希腊] 柏拉图,王太庆,商务印书馆,2013-1,12.00元,9.1,11193,None,https://img1.doubanio.com/view/subject/s/public/s28378127.jpg
243,被讨厌的勇气,岸见一郎,渠海霞,机械工业出版社,2015-3-1,39.8,8.6,95043,None,https://img1.doubanio.com/view/subject/s/public/s29237648.jpg
244,黑箱,岸见一郎,渠海霞,机械工业出版社,2015-3-1,39.8,8.8,17969,None,https://img9.doubanio.com/view/subject/s/public/s30025945.jpg
245,金阁寺,[日] 三岛由纪夫,唐月梅,上海译文出版社,2009-1,24.00,8.7,31440,他的犯罪动机是对美的嫉妒,https://img3.doubanio.com/view/subject/s/public/s3511590.jpg
246,狂热分子,[美] 埃里克·霍弗,梁永安,广西师范大学出版社,2011-6,34.00元,8.9,13677,探讨群众运动的共有特征,https://img1.doubanio.com/view/subject/s/public/s28036829.jpg
247,显微镜下的大明,马伯庸,,湖南文艺出版社,2019-1,52.00元,8.7,25331,None,https://img2.doubanio.com/view/subject/s/public/s29960161.jpg
248,分成两半的子爵,[意] 伊塔洛·卡尔维诺,吴正仪,译林出版社,2012-4-1,20.00元,8.7,18996,None,https://img2.doubanio.com/view/subject/s/public/s8972073.jpg
249,社会契约论,[法] 卢梭,何兆武,商务印书馆,2003-2-1,18.00元,8.8,17697,一个国家只能有一个契约,https://img9.doubanio.com/view/subject/s/public/s1314606.jpg
250,巨流河,齐邦媛,,生活·读书·新知三联书店,2010-10,39.00元,8.7,29105,两代人从巨流河到哑口海的故事,https://img1.doubanio.com/view/subject/s/public/s4494379.jpg
